article_title,revision_id,article_quality,state,population,regional_division
"Hanceville, Alabama",1169612470,C,Alabama,5074296,South
"Harpersville, Alabama",1177953234,C,Alabama,5074296,South
"Hartford, Alabama",1165749307,C,Alabama,5074296,South
"Hartselle, Alabama",1165749341,C,Alabama,5074296,South
"Hayden, Alabama",1166180747,C,Alabama,5074296,South
"Hayneville, Alabama",1166180764,C,Alabama,5074296,South
"Headland, Alabama",1168369252,C,Alabama,5074296,South
"Heath, Alabama",1166180800,Start,Alabama,5074296,South
"Heflin, Alabama",1176321971,C,Alabama,5074296,South
"Helena, Alabama",1177702091,C,Alabama,5074296,South
"Henagar, Alabama",1165749718,C,Alabama,5074296,South
"Highland Lake, Alabama",1166180993,Start,Alabama,5074296,South
"Hillsboro, Alabama",1166181055,C,Alabama,5074296,South
"Hobson City, Alabama",1166181157,C,Alabama,5074296,South
"Hodges, Alabama",1166181162,C,Alabama,5074296,South
"Hokes Bluff, Alabama",1165750177,C,Alabama,5074296,South
"Holly Pond, Alabama",1166181271,C,Alabama,5074296,South
"Hollywood, Alabama",1166181286,C,Alabama,5074296,South
"Homewood, Alabama",1177622299,GA,Alabama,5074296,South
"Hoover, Alabama",1177622412,C,Alabama,5074296,South
"Horn Hill, Alabama",1166181398,Start,Alabama,5074296,South
"Hueytown, Alabama",1177622536,C,Alabama,5074296,South
"Huntsville, Alabama",1179363035,FA,Alabama,5074296,South
"Hurtsboro, Alabama",1096814754,C,Alabama,5074296,South
"Hytop, Alabama",1166181602,Start,Alabama,5074296,South
"Ider, Alabama",1166181612,C,Alabama,5074296,South
"Indian Springs Village, Alabama",1166181665,C,Alabama,5074296,South
"Irondale, Alabama",1169440818,C,Alabama,5074296,South
"Jackson, Alabama",1165750992,C,Alabama,5074296,South
"Jackson's Gap, Alabama",1166181798,Start,Alabama,5074296,South
"Jacksonville, Alabama",1175988040,C,Alabama,5074296,South
"Jasper, Alabama",1174380579,C,Alabama,5074296,South
"Jemison, Alabama",1165751151,C,Alabama,5074296,South
"Kansas, Alabama",1166182143,Start,Alabama,5074296,South
"Kellyton, Alabama",1166182186,Stub,Alabama,5074296,South
"Kennedy, Alabama",1166182247,Start,Alabama,5074296,South
"Killen, Alabama",1166182386,C,Alabama,5074296,South
"Kimberly, Alabama",1177622633,C,Alabama,5074296,South
"Kinsey, Alabama",1166182487,C,Alabama,5074296,South
"Kinston, Alabama",1166182489,C,Alabama,5074296,South
"LaFayette, Alabama",1165752571,C,Alabama,5074296,South
"Lake View, Alabama",1170831381,C,Alabama,5074296,South
"Lakeview, Alabama",1166205391,Start,Alabama,5074296,South
"Lanett, Alabama",1165889187,C,Alabama,5074296,South
"Langston, Alabama",1171521067,C,Alabama,5074296,South
"Leeds, Alabama",1179531175,C,Alabama,5074296,South
"Leesburg, Alabama",1166205728,C,Alabama,5074296,South
"Leighton, Alabama",1148926606,C,Alabama,5074296,South
"Lester, Alabama",1166205815,Start,Alabama,5074296,South
"Level Plains, Alabama",1165890044,Start,Alabama,5074296,South
"Lexington, Alabama",1166205880,Start,Alabama,5074296,South
"Libertyville, Alabama",1166205930,Start,Alabama,5074296,South
"Lincoln, Alabama",1165890317,C,Alabama,5074296,South
"Linden, Alabama",1170891816,GA,Alabama,5074296,South
"Lineville, Alabama",1165890459,GA,Alabama,5074296,South
"Lipscomb, Alabama",1177622747,C,Alabama,5074296,South
"Lisman, Alabama",1166206088,C,Alabama,5074296,South
"Littleville, Alabama",1166206172,Start,Alabama,5074296,South
"Livingston, Alabama",1165891122,C,Alabama,5074296,South
"Loachapoka, Alabama",1166206211,C,Alabama,5074296,South
"Lockhart, Alabama",1166206220,C,Alabama,5074296,South
"Locust Fork, Alabama",1173287337,C,Alabama,5074296,South
"Louisville, Alabama",1166206343,Start,Alabama,5074296,South
"Lowndesboro, Alabama",1166206408,C,Alabama,5074296,South
"Loxley, Alabama",1170361974,C,Alabama,5074296,South
"Luverne, Alabama",1173068585,C,Alabama,5074296,South
"Lynn, Alabama",1166206561,Start,Alabama,5074296,South
"Madison, Alabama",1177703025,C,Alabama,5074296,South
"Madrid, Alabama",1166206649,C,Alabama,5074296,South
"Magnolia Springs, Alabama",1166206656,GA,Alabama,5074296,South
"Malvern, Alabama",1166206718,C,Alabama,5074296,South
"Maplesville, Alabama",1166206829,C,Alabama,5074296,South
"Margaret, Alabama",1165892174,C,Alabama,5074296,South
"Marion, Alabama",1165892206,GA,Alabama,5074296,South
"Maytown, Alabama",1166207284,Start,Alabama,5074296,South
"McIntosh, Alabama",1176350576,C,Alabama,5074296,South
"McKenzie, Alabama",1166207344,Start,Alabama,5074296,South
"McMullen, Alabama",1166207363,Start,Alabama,5074296,South
"Memphis, Alabama",1166207484,Start,Alabama,5074296,South
"Mentone, Alabama",1166207510,GA,Alabama,5074296,South
"Midfield, Alabama",1165893352,C,Alabama,5074296,South
"Midland City, Alabama",1166207749,C,Alabama,5074296,South
"Midway, Alabama",1158753496,C,Alabama,5074296,South
"Millbrook, Alabama",1178021676,C,Alabama,5074296,South
"Millport, Alabama",1166207935,C,Alabama,5074296,South
"Millry, Alabama",1166207936,Start,Alabama,5074296,South
"Mobile, Alabama",1178152366,GA,Alabama,5074296,South
"Monroeville, Alabama",1172371452,C,Alabama,5074296,South
"Montevallo, Alabama",1177552745,C,Alabama,5074296,South
"Montgomery, Alabama",1174537991,GA,Alabama,5074296,South
"Moody, Alabama",1179508395,C,Alabama,5074296,South
"Mooresville, Alabama",1169255573,C,Alabama,5074296,South
"Morris, Alabama",1177624137,C,Alabama,5074296,South
"Mosses, Alabama",1175025748,C,Alabama,5074296,South
"Moulton, Alabama",1165894467,C,Alabama,5074296,South
"Moundville, Alabama",1166208667,C,Alabama,5074296,South
"Mount Vernon, Alabama",1166208775,GA,Alabama,5074296,South
"Mountain Brook, Alabama",1172621297,C,Alabama,5074296,South
"Mulga, Alabama",1157496931,Start,Alabama,5074296,South
"Munford, Alabama",1178871326,C,Alabama,5074296,South
"Muscle Shoals, Alabama",1178909921,C,Alabama,5074296,South
"Myrtlewood, Alabama",1166208882,GA,Alabama,5074296,South
"Napier Field, Alabama",1166208894,Start,Alabama,5074296,South
"Natural Bridge, Alabama",1166208941,C,Alabama,5074296,South
"Nauvoo, Alabama",1096820857,C,Alabama,5074296,South
"Nectar, Alabama",1166208963,Start,Alabama,5074296,South
"Needham, Alabama",1166208968,Start,Alabama,5074296,South
"New Brockton, Alabama",1166209021,C,Alabama,5074296,South
"New Hope, Alabama",1165895256,C,Alabama,5074296,South
"New Site, Alabama",1166209336,Start,Alabama,5074296,South
"Newbern, Alabama",1176337691,GA,Alabama,5074296,South
"Newton, Alabama",1166209571,C,Alabama,5074296,South
"Newville, Alabama",1177928995,C,Alabama,5074296,South
"North Courtland, Alabama",1166209704,Start,Alabama,5074296,South
"North Johns, Alabama",1166209738,Start,Alabama,5074296,South
"Northport, Alabama",1167817987,C,Alabama,5074296,South
"Notasulga, Alabama",1175854552,C,Alabama,5074296,South
"Oak Grove, Alabama",1124809704,C,Alabama,5074296,South
"Oak Hill, Alabama",1166209958,C,Alabama,5074296,South
"Oakman, Alabama",1174954255,Start,Alabama,5074296,South
"Odenville, Alabama",1166210198,C,Alabama,5074296,South
"Ohatchee, Alabama",1166210252,C,Alabama,5074296,South
"Oneonta, Alabama",1166092446,C,Alabama,5074296,South
"Onycha, Alabama",1166210466,Start,Alabama,5074296,South
"Opelika, Alabama",1165896665,C,Alabama,5074296,South
"Opp, Alabama",1165896683,C,Alabama,5074296,South
"Orange Beach, Alabama",1172898965,C,Alabama,5074296,South
"Orrville, Alabama",1175606582,C,Alabama,5074296,South
"Owens Cross Roads, Alabama",1172849762,C,Alabama,5074296,South
"Oxford, Alabama",1165896955,C,Alabama,5074296,South
"Ozark, Alabama",1175658038,C,Alabama,5074296,South
"Paint Rock, Alabama",1166210847,C,Alabama,5074296,South
"Parrish, Alabama",1166210982,C,Alabama,5074296,South
"Pelham, Alabama",1174024956,C,Alabama,5074296,South
"Pell City, Alabama",1171029165,C,Alabama,5074296,South
"Pennington, Alabama",1135170013,C,Alabama,5074296,South
"Perdido Beach, Alabama",1166211174,Start,Alabama,5074296,South
"Petrey, Alabama",1096817791,C,Alabama,5074296,South
"Phenix City, Alabama",1160284984,C,Alabama,5074296,South
"Phil Campbell, Alabama",1176609767,C,Alabama,5074296,South
"Pickensville, Alabama",1166211277,C,Alabama,5074296,South
"Piedmont, Alabama",1174026676,C,Alabama,5074296,South
"Pike Road, Alabama",1170574167,C,Alabama,5074296,South
"Pinckard, Alabama",1166211323,Start,Alabama,5074296,South
"Pine Apple, Alabama",1166211355,C,Alabama,5074296,South
"Pine Hill, Alabama",1166211367,Start,Alabama,5074296,South
"Pine Ridge, Alabama",1166211388,Start,Alabama,5074296,South
"Pinson, Alabama",1178582292,C,Alabama,5074296,South
"Pisgah, Alabama",1166211442,C,Alabama,5074296,South
"Pleasant Grove, Alabama",1177636010,C,Alabama,5074296,South
"Pleasant Groves, Alabama",1166229073,Start,Alabama,5074296,South
"Pollard, Alabama",1166229176,Start,Alabama,5074296,South
"Powell, Alabama",1166229333,C,Alabama,5074296,South
"Prattville, Alabama",1167939343,C,Alabama,5074296,South
"Priceville, Alabama",1166229409,C,Alabama,5074296,South
"Prichard, Alabama",1176865405,C,Alabama,5074296,South
"Providence, Alabama",1166229472,Start,Alabama,5074296,South
"Ragland, Alabama",1166229540,C,Alabama,5074296,South
"Rainbow City, Alabama",1158827266,GA,Alabama,5074296,South
"Rainsville, Alabama",1171084402,C,Alabama,5074296,South
"Ranburne, Alabama",1166229569,C,Alabama,5074296,South
"Red Bay, Alabama",1169333757,C,Alabama,5074296,South
"Red Level, Alabama",1166229671,C,Alabama,5074296,South
"Reece City, Alabama",1166229699,Start,Alabama,5074296,South
"Reform, Alabama",1165899409,C,Alabama,5074296,South
"Rehobeth, Alabama",1172196089,C,Alabama,5074296,South
"Repton, Alabama",1166229759,Start,Alabama,5074296,South
"Ridgeville, Alabama",1166229906,Start,Alabama,5074296,South
"River Falls, Alabama",1166230019,C,Alabama,5074296,South
"Riverside, Alabama",1166230024,C,Alabama,5074296,South
"Riverview, Alabama",1166230040,Start,Alabama,5074296,South
"Roanoke, Alabama",1165899878,C,Alabama,5074296,South
"Robertsdale, Alabama",1166314424,C,Alabama,5074296,South
"Rockford, Alabama",1169199856,GA,Alabama,5074296,South
"Rogersville, Alabama",1166230187,C,Alabama,5074296,South
"Rosa, Alabama",1166230264,Start,Alabama,5074296,South
"Russellville, Alabama",1165900503,GA,Alabama,5074296,South
"Rutledge, Alabama",1166230534,Start,Alabama,5074296,South
"St. Florian, Alabama",1166330128,C,Alabama,5074296,South
"Samson, Alabama",1165900688,C,Alabama,5074296,South
"Sand Rock, Alabama",1166230657,C,Alabama,5074296,South
"Sanford, Alabama",1166230687,Start,Alabama,5074296,South
"Saraland, Alabama",1176013392,GA,Alabama,5074296,South
"Sardis City, Alabama",1166230721,C,Alabama,5074296,South
"Satsuma, Alabama",1165900914,C,Alabama,5074296,South
"Scottsboro, Alabama",1174635424,C,Alabama,5074296,South
"Section, Alabama",1166230919,C,Alabama,5074296,South
"Selma, Alabama",1143473983,C,Alabama,5074296,South
"Sheffield, Alabama",1178910007,C,Alabama,5074296,South
"Shiloh, DeKalb County, Alabama",1166231236,C,Alabama,5074296,South
"Shorter, Alabama",1167174337,C,Alabama,5074296,South
"Silas, Alabama",1166231326,C,Alabama,5074296,South
"Silverhill, Alabama",1178521390,C,Alabama,5074296,South
"Sipsey, Alabama",1166231394,Start,Alabama,5074296,South
"Skyline, Alabama",1166231421,C,Alabama,5074296,South
"Slocomb, Alabama",1165901938,Start,Alabama,5074296,South
"Smiths Station, Alabama",1165901985,C,Alabama,5074296,South
"Snead, Alabama",1166231481,Start,Alabama,5074296,South
"Somerville, Alabama",1166231524,C,Alabama,5074296,South
"South Vinemont, Alabama",1166329815,Start,Alabama,5074296,South
"Southside, Alabama",1165902345,C,Alabama,5074296,South
"Spanish Fort, Alabama",1178909983,C,Alabama,5074296,South
"Springville, Alabama",1165902747,C,Alabama,5074296,South
"Steele, Alabama",1166330411,C,Alabama,5074296,South
"Stevenson, Alabama",1165903151,C,Alabama,5074296,South
"Sulligent, Alabama",1165903367,C,Alabama,5074296,South
"Sumiton, Alabama",1177623469,C,Alabama,5074296,South
"Summerdale, Alabama",1166330782,C,Alabama,5074296,South
"Susan Moore, Alabama",1166330933,C,Alabama,5074296,South
"Sweet Water, Alabama",1170589664,GA,Alabama,5074296,South
"Sylacauga, Alabama",1176796677,C,Alabama,5074296,South
"Sylvan Springs, Alabama",1177624259,Start,Alabama,5074296,South
"Sylvania, Alabama",1166331023,GA,Alabama,5074296,South
"Talladega Springs, Alabama",1166331095,C,Alabama,5074296,South
"Talladega, Alabama",1165903654,C,Alabama,5074296,South
"Tallassee, Alabama",1151228134,C,Alabama,5074296,South
"Tarrant, Alabama",1177783643,C,Alabama,5074296,South
"Taylor, Alabama",1166331142,C,Alabama,5074296,South
"Thomaston, Alabama",1166331276,C,Alabama,5074296,South
"Thomasville, Alabama",1178846594,GA,Alabama,5074296,South
"Thorsby, Alabama",1166331319,C,Alabama,5074296,South
"Town Creek, Alabama",1166331496,C,Alabama,5074296,South
"Toxey, Alabama",1166331527,Start,Alabama,5074296,South
"Trafford, Alabama",1166331545,Start,Alabama,5074296,South
"Triana, Alabama",1178614293,GA,Alabama,5074296,South
"Trinity, Alabama",1166331634,C,Alabama,5074296,South
"Troy, Alabama",1176314436,C,Alabama,5074296,South
"Trussville, Alabama",1175000150,C,Alabama,5074296,South
"Tuscaloosa, Alabama",1179478135,B,Alabama,5074296,South
"Tuscumbia, Alabama",1178910105,GA,Alabama,5074296,South
"Tuskegee, Alabama",1177701177,B,Alabama,5074296,South
"Twin, Alabama",1175521846,Start,Alabama,5074296,South
"Union Grove, Alabama",1166331875,C,Alabama,5074296,South
"Union Springs, Alabama",1165905202,C,Alabama,5074296,South
"Union, Alabama",1178295657,Start,Alabama,5074296,South
"Uniontown, Alabama",1165905237,C,Alabama,5074296,South
"Valley, Alabama",1165905995,C,Alabama,5074296,South
"Valley Grande, Alabama",1165905981,C,Alabama,5074296,South
"Valley Head, Alabama",1166331993,C,Alabama,5074296,South
"Vance, Alabama",1166332037,C,Alabama,5074296,South
"Vernon, Alabama",1165906151,C,Alabama,5074296,South
"Vestavia Hills, Alabama",1165906191,C,Alabama,5074296,South
"Vina, Alabama",1166332226,C,Alabama,5074296,South
"Vincent, Alabama",1165906276,C,Alabama,5074296,South
"Vredenburgh, Alabama",1166332292,Start,Alabama,5074296,South
"Wadley, Alabama",1166332312,C,Alabama,5074296,South
"Waldo, Alabama",1166332371,Start,Alabama,5074296,South
"Walnut Grove, Alabama",1166332454,GA,Alabama,5074296,South
"Warrior, Alabama",1170770819,C,Alabama,5074296,South
"Waterloo, Alabama",1166332754,C,Alabama,5074296,South
"Waverly, Alabama",1132854855,C,Alabama,5074296,South
"Weaver, Alabama",1165906934,C,Alabama,5074296,South
"Webb, Alabama",1166332930,Start,Alabama,5074296,South
"Wedowee, Alabama",1172981633,C,Alabama,5074296,South
"West Blocton, Alabama",1179078811,C,Alabama,5074296,South
"West Jefferson, Alabama",1166333114,Start,Alabama,5074296,South
"West Point, Alabama",1166333164,Start,Alabama,5074296,South
"Westover, Alabama",1165907320,Start,Alabama,5074296,South
"Wetumpka, Alabama",1176205749,GA,Alabama,5074296,South
"White Hall, Alabama",1166333467,C,Alabama,5074296,South
"Wilsonville, Alabama",1166333841,Start,Alabama,5074296,South
"Wilton, Alabama",1166333844,Start,Alabama,5074296,South
"Winfield, Alabama",1177270687,C,Alabama,5074296,South
"Woodland, Alabama",1166334268,C,Alabama,5074296,South
"Woodstock, Alabama",1166334349,C,Alabama,5074296,South
"Woodville, Alabama",1166334382,C,Alabama,5074296,South
"Yellow Bluff, Alabama",1166334559,Start,Alabama,5074296,South
"York, Alabama",1171163639,C,Alabama,5074296,South
"Adak, Alaska",1174701601,C,Alaska,733583,West
"Akhiok, Alaska",1176053029,C,Alaska,733583,West
"Akiak, Alaska",1165506221,C,Alaska,733583,West
"Akutan, Alaska",1174332990,C,Alaska,733583,West
