index,title,lastrevid,score_pred,state
51,"Brewton, Alabama",1162427481,GA,Alabama
52,"Bridgeport, Alabama",1165537046,GA,Alabama
53,"Brighton, Alabama",1177621572,C,Alabama
54,"Brilliant, Alabama",1166016323,GA,Alabama
55,"Brookside, Alabama",1170769013,C,Alabama
56,"Brookwood, Alabama",1178216914,C,Alabama
57,"Brundidge, Alabama",1165537457,C,Alabama
58,"Butler, Alabama",1144752979,C,Alabama
59,"Calera, Alabama",1165537934,C,Alabama
60,"Camden, Alabama",1176316224,GA,Alabama
61,"Camp Hill, Alabama",1166017104,C,Alabama
62,"Carbon Hill, Alabama",1175376595,C,Alabama
63,"Cardiff, Alabama",1166017260,Start,Alabama
64,"Carolina, Alabama",1166017310,Start,Alabama
65,"Carrollton, Alabama",1096812581,C,Alabama
66,"Castleberry, Alabama",1166017442,Start,Alabama
67,"Cedar Bluff, Alabama",1177836881,C,Alabama
68,"Center Point, Alabama",1174837569,C,Alabama
69,"Centre, Alabama",1164314017,C,Alabama
70,"Centreville, Alabama",1172134285,C,Alabama
71,"Chatom, Alabama",1159488446,C,Alabama
72,"Chelsea, Alabama",1165539092,C,Alabama
73,"Cherokee, Alabama",1166017755,C,Alabama
74,"Chickasaw, Alabama",1165539195,C,Alabama
75,"Childersburg, Alabama",1165539227,GA,Alabama
76,"Citronelle, Alabama",1165539457,C,Alabama
77,"Clanton, Alabama",1158612343,GA,Alabama
78,"Clay, Alabama",1177621993,C,Alabama
79,"Clayhatchee, Alabama",1166018079,Start,Alabama
80,"Clayton, Alabama",1155236230,C,Alabama
81,"Cleveland, Alabama",1168466910,C,Alabama
82,"Clio, Alabama",1165644511,Start,Alabama
83,"Coaling, Alabama",1166018304,C,Alabama
84,"Coffee Springs, Alabama",1166018326,Start,Alabama
85,"Coffeeville, Alabama",1166029689,C,Alabama
86,"Coker, Alabama",1166018360,Start,Alabama
87,"Collinsville, Alabama",1177947751,C,Alabama
88,"Colony, Alabama",1166018463,GA,Alabama
89,"Columbia, Alabama",1166018475,C,Alabama
90,"Columbiana, Alabama",1151357569,C,Alabama
91,"Coosada, Alabama",1172561590,C,Alabama
92,"Cordova, Alabama",1165645181,GA,Alabama
93,"Cottonwood, Alabama",1096812941,C,Alabama
94,"County Line, Alabama",1166018950,Start,Alabama
95,"Courtland, Alabama",1157580326,GA,Alabama
96,"Cowarts, Alabama",1166019003,C,Alabama
97,"Creola, Alabama",1139764613,GA,Alabama
98,"Crossville, Alabama",1166066155,C,Alabama
99,"Cuba, Alabama",1175879685,C,Alabama
100,"Cullman, Alabama",1177009324,B,Alabama
101,"Cusseta, Alabama",1172824345,Start,Alabama
102,"Dadeville, Alabama",1158607851,C,Alabama
103,"Daleville, Alabama",1154496305,GA,Alabama
104,"Daphne, Alabama",1165646156,FA,Alabama
105,"Dauphin Island, Alabama",1174226588,B,Alabama
106,"Daviston, Alabama",1166066473,C,Alabama
107,"Dayton, Alabama",1166066487,C,Alabama
108,"Deatsville, Alabama",1166066515,C,Alabama
109,"Decatur, Alabama",1178063438,C,Alabama
110,"Demopolis, Alabama",1161394946,B,Alabama
111,"Detroit, Alabama",1166066756,Start,Alabama
112,"Dodge City, Alabama",1166066982,Start,Alabama
113,"Dora, Alabama",1165647022,C,Alabama
114,"Dothan, Alabama",1179231968,B,Alabama
115,"Double Springs, Alabama",1159024876,C,Alabama
116,"Douglas, Alabama",1166067023,GA,Alabama
117,"Dozier, Alabama",1096813187,Start,Alabama
118,"Dutton, Alabama",1166067175,C,Alabama
119,"East Brewton, Alabama",1165647609,C,Alabama
120,"Eclectic, Alabama",1145048302,C,Alabama
121,"Edwardsville, Alabama",1166067508,C,Alabama
122,"Elba, Alabama",1163400900,C,Alabama
123,"Elberta, Alabama",1175895043,C,Alabama
124,"Eldridge, Alabama",1178177223,Start,Alabama
125,"Elkmont, Alabama",1176555126,C,Alabama
126,"Elmore, Alabama",1166067658,C,Alabama
127,"Emelle, Alabama",1158753175,C,Alabama
128,"Enterprise, Alabama",1160273773,C,Alabama
129,"Epes, Alabama",1166067751,C,Alabama
130,"Ethelsville, Alabama",1166067848,Start,Alabama
131,"Eufaula, Alabama",1160493671,GA,Alabama
132,"Eutaw, Alabama",1158611853,C,Alabama
133,"Eva, Alabama",1166067877,GA,Alabama
134,"Evergreen, Conecuh County, Alabama",1158611789,C,Alabama
135,"Excel, Alabama",1166067942,C,Alabama
136,"Fairfield, Alabama",1177239572,C,Alabama
137,"Fairhope, Alabama",1173963070,C,Alabama
138,"Fairview, Alabama",1166068021,C,Alabama
139,"Falkville, Alabama",1166068054,GA,Alabama
140,"Faunsdale, Alabama",1167428050,GA,Alabama
141,"Fayette, Alabama",1142947111,C,Alabama
142,"Five Points, Alabama",1166068289,C,Alabama
143,"Flomaton, Alabama",1166244039,C,Alabama
144,"Florala, Alabama",1166068321,C,Alabama
145,"Florence, Alabama",1178304592,C,Alabama
146,"Foley, Alabama",1166414056,C,Alabama
147,"Forkland, Alabama",1166068466,C,Alabama
148,"Fort Deposit, Alabama",1177020476,C,Alabama
149,"Fort Payne, Alabama",1172551841,GA,Alabama
150,"Franklin, Alabama",1166068620,GA,Alabama
151,"Frisco City, Alabama",1166068863,C,Alabama
152,"Fruithurst, Alabama",1166068877,Start,Alabama
153,"Fulton, Alabama",1166068885,Start,Alabama
154,"Fultondale, Alabama",1165840932,C,Alabama
155,"Fyffe, Alabama",1160192215,C,Alabama
156,"Gadsden, Alabama",1177146243,C,Alabama
157,"Gainesville, Alabama",1166068936,C,Alabama
158,"Gantt, Alabama",1166068957,Start,Alabama
159,"Garden City, Alabama",1166068968,C,Alabama
160,"Gardendale, Alabama",1175530987,C,Alabama
161,"Gaylesville, Alabama",1166069113,C,Alabama
162,"Geiger, Alabama",1166069121,Start,Alabama
163,"Geneva, Alabama",1165747810,C,Alabama
164,"Georgiana, Alabama",1178540000,Start,Alabama
165,"Geraldine, Alabama",1166069211,C,Alabama
166,"Gilbertown, Alabama",1166069407,C,Alabama
167,"Glen Allen, Alabama",1166069457,C,Alabama
168,"Glencoe, Alabama",1165748058,C,Alabama
169,"Glenwood, Alabama",1096814086,Start,Alabama
170,"Goldville, Alabama",1177535939,Start,Alabama
171,"Good Hope, Alabama",1165748200,C,Alabama
172,"Goodwater, Alabama",1166069571,C,Alabama
173,"Gordo, Alabama",1176908359,C,Alabama
174,"Gordon, Alabama",1166069580,C,Alabama
175,"Gordonville, Alabama",1166069594,C,Alabama
176,"Goshen, Alabama",1166069601,C,Alabama
177,"Grant, Alabama",1166069728,GA,Alabama
178,"Graysville, Alabama",1177622200,C,Alabama
179,"Greensboro, Alabama",1172134373,C,Alabama
180,"Greenville, Alabama",1171417115,C,Alabama
181,"Grimes, Alabama",1166180119,Start,Alabama
182,"Grove Hill, Alabama",1144754911,C,Alabama
183,"Guin, Alabama",1173001379,C,Alabama
184,"Gulf Shores, Alabama",1174473447,C,Alabama
185,"Guntersville, Alabama",1169878221,C,Alabama
186,"Gurley, Alabama",1173078483,C,Alabama
187,"Gu-Win, Alabama",1175521277,C,Alabama
188,"Hackleburg, Alabama",1167581471,GA,Alabama
189,"Haleburg, Alabama",1166180281,C,Alabama
190,"Haleyville, Alabama",1168590141,GA,Alabama
191,"Hamilton, Alabama",1170634832,C,Alabama
192,"Hammondville, Alabama",1166180369,C,Alabama
193,"Hanceville, Alabama",1169612470,C,Alabama
194,"Harpersville, Alabama",1177953234,C,Alabama
195,"Hartford, Alabama",1165749307,C,Alabama
196,"Hartselle, Alabama",1165749341,C,Alabama
197,"Hayden, Alabama",1166180747,C,Alabama
198,"Hayneville, Alabama",1166180764,C,Alabama
199,"Headland, Alabama",1168369252,C,Alabama
200,"Heath, Alabama",1166180800,Start,Alabama
201,"Heflin, Alabama",1176321971,C,Alabama
202,"Helena, Alabama",1177702091,C,Alabama
203,"Henagar, Alabama",1165749718,C,Alabama
204,"Highland Lake, Alabama",1166180993,Start,Alabama
205,"Hillsboro, Alabama",1166181055,C,Alabama
206,"Hobson City, Alabama",1166181157,C,Alabama
207,"Hodges, Alabama",1166181162,C,Alabama
208,"Hokes Bluff, Alabama",1165750177,C,Alabama
209,"Holly Pond, Alabama",1166181271,C,Alabama
210,"Hollywood, Alabama",1166181286,C,Alabama
211,"Homewood, Alabama",1177622299,GA,Alabama
212,"Hoover, Alabama",1177622412,C,Alabama
213,"Horn Hill, Alabama",1166181398,Start,Alabama
214,"Hueytown, Alabama",1177622536,C,Alabama
215,"Huntsville, Alabama",1179363035,FA,Alabama
216,"Hurtsboro, Alabama",1096814754,C,Alabama
217,"Hytop, Alabama",1166181602,Start,Alabama
218,"Ider, Alabama",1166181612,C,Alabama
219,"Indian Springs Village, Alabama",1166181665,C,Alabama
220,"Irondale, Alabama",1169440818,C,Alabama
221,"Jackson, Alabama",1165750992,C,Alabama
222,"Jackson's Gap, Alabama",1166181798,Start,Alabama
223,"Jacksonville, Alabama",1175988040,C,Alabama
224,"Jasper, Alabama",1174380579,C,Alabama
225,"Jemison, Alabama",1165751151,C,Alabama
226,"Kansas, Alabama",1166182143,Start,Alabama
227,"Kellyton, Alabama",1166182186,Stub,Alabama
228,"Kennedy, Alabama",1166182247,Start,Alabama
229,"Killen, Alabama",1166182386,C,Alabama
230,"Kimberly, Alabama",1177622633,C,Alabama
231,"Kinsey, Alabama",1166182487,C,Alabama
232,"Kinston, Alabama",1166182489,C,Alabama
233,"LaFayette, Alabama",1165752571,C,Alabama
234,"Lake View, Alabama",1170831381,C,Alabama
235,"Lakeview, Alabama",1166205391,Start,Alabama
236,"Lanett, Alabama",1165889187,C,Alabama
237,"Langston, Alabama",1171521067,C,Alabama
238,"Leeds, Alabama",1179531175,C,Alabama
239,"Leesburg, Alabama",1166205728,C,Alabama
240,"Leighton, Alabama",1148926606,C,Alabama
241,"Lester, Alabama",1166205815,Start,Alabama
242,"Level Plains, Alabama",1165890044,Start,Alabama
243,"Lexington, Alabama",1166205880,Start,Alabama
244,"Libertyville, Alabama",1166205930,Start,Alabama
245,"Lincoln, Alabama",1165890317,C,Alabama
246,"Linden, Alabama",1170891816,GA,Alabama
247,"Lineville, Alabama",1165890459,GA,Alabama
248,"Lipscomb, Alabama",1177622747,C,Alabama
249,"Lisman, Alabama",1166206088,C,Alabama
250,"Littleville, Alabama",1166206172,Start,Alabama
251,"Livingston, Alabama",1165891122,C,Alabama
252,"Loachapoka, Alabama",1166206211,C,Alabama
253,"Lockhart, Alabama",1166206220,C,Alabama
254,"Locust Fork, Alabama",1173287337,C,Alabama
255,"Louisville, Alabama",1166206343,Start,Alabama
256,"Lowndesboro, Alabama",1166206408,C,Alabama
257,"Loxley, Alabama",1170361974,C,Alabama
258,"Luverne, Alabama",1173068585,C,Alabama
259,"Lynn, Alabama",1166206561,Start,Alabama
260,"Madison, Alabama",1177703025,C,Alabama
261,"Madrid, Alabama",1166206649,C,Alabama
262,"Magnolia Springs, Alabama",1166206656,GA,Alabama
263,"Malvern, Alabama",1166206718,C,Alabama
264,"Maplesville, Alabama",1166206829,C,Alabama
265,"Margaret, Alabama",1165892174,C,Alabama
266,"Marion, Alabama",1165892206,GA,Alabama
267,"Maytown, Alabama",1166207284,Start,Alabama
268,"McIntosh, Alabama",1176350576,C,Alabama
269,"McKenzie, Alabama",1166207344,Start,Alabama
270,"McMullen, Alabama",1166207363,Start,Alabama
271,"Memphis, Alabama",1166207484,Start,Alabama
272,"Mentone, Alabama",1166207510,GA,Alabama
273,"Midfield, Alabama",1165893352,C,Alabama
274,"Midland City, Alabama",1166207749,C,Alabama
275,"Midway, Alabama",1158753496,C,Alabama
276,"Millbrook, Alabama",1178021676,C,Alabama
277,"Millport, Alabama",1166207935,C,Alabama
278,"Millry, Alabama",1166207936,Start,Alabama
279,"Mobile, Alabama",1178152366,GA,Alabama
280,"Monroeville, Alabama",1172371452,C,Alabama
281,"Montevallo, Alabama",1177552745,C,Alabama
282,"Montgomery, Alabama",1174537991,GA,Alabama
283,"Moody, Alabama",1179508395,C,Alabama
284,"Mooresville, Alabama",1169255573,C,Alabama
285,"Morris, Alabama",1177624137,C,Alabama
286,"Mosses, Alabama",1175025748,C,Alabama
287,"Moulton, Alabama",1165894467,C,Alabama
288,"Moundville, Alabama",1166208667,C,Alabama
289,"Mount Vernon, Alabama",1166208775,GA,Alabama
290,"Mountain Brook, Alabama",1172621297,C,Alabama
291,"Mulga, Alabama",1157496931,Start,Alabama
292,"Munford, Alabama",1178871326,C,Alabama
293,"Muscle Shoals, Alabama",1178909921,C,Alabama
294,"Myrtlewood, Alabama",1166208882,GA,Alabama
295,"Napier Field, Alabama",1166208894,Start,Alabama
296,"Natural Bridge, Alabama",1166208941,C,Alabama
297,"Nauvoo, Alabama",1096820857,C,Alabama
298,"Nectar, Alabama",1166208963,Start,Alabama
299,"Needham, Alabama",1166208968,Start,Alabama
300,"New Brockton, Alabama",1166209021,C,Alabama
301,"New Hope, Alabama",1165895256,C,Alabama
302,"New Site, Alabama",1166209336,Start,Alabama
303,"Newbern, Alabama",1176337691,GA,Alabama
304,"Newton, Alabama",1166209571,C,Alabama
305,"Newville, Alabama",1177928995,C,Alabama
306,"North Courtland, Alabama",1166209704,Start,Alabama
307,"North Johns, Alabama",1166209738,Start,Alabama
308,"Northport, Alabama",1167817987,C,Alabama
309,"Notasulga, Alabama",1175854552,C,Alabama
310,"Oak Grove, Alabama",1124809704,C,Alabama
311,"Oak Hill, Alabama",1166209958,C,Alabama
312,"Oakman, Alabama",1174954255,Start,Alabama
313,"Odenville, Alabama",1166210198,C,Alabama
314,"Ohatchee, Alabama",1166210252,C,Alabama
315,"Oneonta, Alabama",1166092446,C,Alabama
316,"Onycha, Alabama",1166210466,Start,Alabama
317,"Opelika, Alabama",1165896665,C,Alabama
318,"Opp, Alabama",1165896683,C,Alabama
319,"Orange Beach, Alabama",1172898965,C,Alabama
320,"Orrville, Alabama",1175606582,C,Alabama
321,"Owens Cross Roads, Alabama",1172849762,C,Alabama
322,"Oxford, Alabama",1165896955,C,Alabama
323,"Ozark, Alabama",1175658038,C,Alabama
324,"Paint Rock, Alabama",1166210847,C,Alabama
325,"Parrish, Alabama",1166210982,C,Alabama
326,"Pelham, Alabama",1174024956,C,Alabama
327,"Pell City, Alabama",1171029165,C,Alabama
328,"Pennington, Alabama",1135170013,C,Alabama
329,"Perdido Beach, Alabama",1166211174,Start,Alabama
330,"Petrey, Alabama",1096817791,C,Alabama
331,"Phenix City, Alabama",1160284984,C,Alabama
332,"Phil Campbell, Alabama",1176609767,C,Alabama
333,"Pickensville, Alabama",1166211277,C,Alabama
334,"Piedmont, Alabama",1174026676,C,Alabama
335,"Pike Road, Alabama",1170574167,C,Alabama
336,"Pinckard, Alabama",1166211323,Start,Alabama
337,"Pine Apple, Alabama",1166211355,C,Alabama
338,"Pine Hill, Alabama",1166211367,Start,Alabama
339,"Pine Ridge, Alabama",1166211388,Start,Alabama
340,"Pinson, Alabama",1178582292,C,Alabama
341,"Pisgah, Alabama",1166211442,C,Alabama
342,"Pleasant Grove, Alabama",1177636010,C,Alabama
343,"Pleasant Groves, Alabama",1166229073,Start,Alabama
344,"Pollard, Alabama",1166229176,Start,Alabama
345,"Powell, Alabama",1166229333,C,Alabama
346,"Prattville, Alabama",1167939343,C,Alabama
347,"Priceville, Alabama",1166229409,C,Alabama
348,"Prichard, Alabama",1176865405,C,Alabama
349,"Providence, Alabama",1166229472,Start,Alabama
350,"Ragland, Alabama",1166229540,C,Alabama
351,"Rainbow City, Alabama",1158827266,GA,Alabama
352,"Rainsville, Alabama",1171084402,C,Alabama
353,"Ranburne, Alabama",1166229569,C,Alabama
354,"Red Bay, Alabama",1169333757,C,Alabama
355,"Red Level, Alabama",1166229671,C,Alabama
356,"Reece City, Alabama",1166229699,Start,Alabama
357,"Reform, Alabama",1165899409,C,Alabama
358,"Rehobeth, Alabama",1172196089,C,Alabama
359,"Repton, Alabama",1166229759,Start,Alabama
360,"Ridgeville, Alabama",1166229906,Start,Alabama
361,"River Falls, Alabama",1166230019,C,Alabama
362,"Riverside, Alabama",1166230024,C,Alabama
363,"Riverview, Alabama",1166230040,Start,Alabama
364,"Roanoke, Alabama",1165899878,C,Alabama
365,"Robertsdale, Alabama",1166314424,C,Alabama
366,"Rockford, Alabama",1169199856,GA,Alabama
367,"Rogersville, Alabama",1166230187,C,Alabama
368,"Rosa, Alabama",1166230264,Start,Alabama
369,"Russellville, Alabama",1165900503,GA,Alabama
370,"Rutledge, Alabama",1166230534,Start,Alabama
371,"St. Florian, Alabama",1166330128,C,Alabama
372,"Samson, Alabama",1165900688,C,Alabama
373,"Sand Rock, Alabama",1166230657,C,Alabama
374,"Sanford, Alabama",1166230687,Start,Alabama
375,"Saraland, Alabama",1176013392,GA,Alabama
376,"Sardis City, Alabama",1166230721,C,Alabama
377,"Satsuma, Alabama",1165900914,C,Alabama
378,"Scottsboro, Alabama",1174635424,C,Alabama
379,"Section, Alabama",1166230919,C,Alabama
380,"Selma, Alabama",1143473983,C,Alabama
381,"Sheffield, Alabama",1178910007,C,Alabama
382,"Shiloh, DeKalb County, Alabama",1166231236,C,Alabama
383,"Shorter, Alabama",1167174337,C,Alabama
384,"Silas, Alabama",1166231326,C,Alabama
385,"Silverhill, Alabama",1178521390,C,Alabama
386,"Sipsey, Alabama",1166231394,Start,Alabama
387,"Skyline, Alabama",1166231421,C,Alabama
388,"Slocomb, Alabama",1165901938,Start,Alabama
389,"Smiths Station, Alabama",1165901985,C,Alabama
390,"Snead, Alabama",1166231481,Start,Alabama
391,"Somerville, Alabama",1166231524,C,Alabama
392,"South Vinemont, Alabama",1166329815,Start,Alabama
393,"Southside, Alabama",1165902345,C,Alabama
394,"Spanish Fort, Alabama",1178909983,C,Alabama
395,"Springville, Alabama",1165902747,C,Alabama
396,"Steele, Alabama",1166330411,C,Alabama
397,"Stevenson, Alabama",1165903151,C,Alabama
398,"Sulligent, Alabama",1165903367,C,Alabama
399,"Sumiton, Alabama",1177623469,C,Alabama
400,"Summerdale, Alabama",1166330782,C,Alabama
401,"Susan Moore, Alabama",1166330933,C,Alabama
402,"Sweet Water, Alabama",1170589664,GA,Alabama
403,"Sylacauga, Alabama",1176796677,C,Alabama
404,"Sylvan Springs, Alabama",1177624259,Start,Alabama
405,"Sylvania, Alabama",1166331023,GA,Alabama
406,"Talladega Springs, Alabama",1166331095,C,Alabama
407,"Talladega, Alabama",1165903654,C,Alabama
408,"Tallassee, Alabama",1151228134,C,Alabama
409,"Tarrant, Alabama",1177783643,C,Alabama
410,"Taylor, Alabama",1166331142,C,Alabama
411,"Thomaston, Alabama",1166331276,C,Alabama
412,"Thomasville, Alabama",1178846594,GA,Alabama
413,"Thorsby, Alabama",1166331319,C,Alabama
414,"Town Creek, Alabama",1166331496,C,Alabama
415,"Toxey, Alabama",1166331527,Start,Alabama
416,"Trafford, Alabama",1166331545,Start,Alabama
417,"Triana, Alabama",1178614293,GA,Alabama
418,"Trinity, Alabama",1166331634,C,Alabama
419,"Troy, Alabama",1176314436,C,Alabama
420,"Trussville, Alabama",1175000150,C,Alabama
421,"Tuscaloosa, Alabama",1179478135,B,Alabama
422,"Tuscumbia, Alabama",1178910105,GA,Alabama
423,"Tuskegee, Alabama",1177701177,B,Alabama
424,"Twin, Alabama",1175521846,Start,Alabama
425,"Union Grove, Alabama",1166331875,C,Alabama
426,"Union Springs, Alabama",1165905202,C,Alabama
427,"Union, Alabama",1178295657,Start,Alabama
428,"Uniontown, Alabama",1165905237,C,Alabama
429,"Valley, Alabama",1165905995,C,Alabama
430,"Valley Grande, Alabama",1165905981,C,Alabama
431,"Valley Head, Alabama",1166331993,C,Alabama
432,"Vance, Alabama",1166332037,C,Alabama
433,"Vernon, Alabama",1165906151,C,Alabama
434,"Vestavia Hills, Alabama",1165906191,C,Alabama
435,"Vina, Alabama",1166332226,C,Alabama
436,"Vincent, Alabama",1165906276,C,Alabama
437,"Vredenburgh, Alabama",1166332292,Start,Alabama
438,"Wadley, Alabama",1166332312,C,Alabama
439,"Waldo, Alabama",1166332371,Start,Alabama
440,"Walnut Grove, Alabama",1166332454,GA,Alabama
441,"Warrior, Alabama",1170770819,C,Alabama
442,"Waterloo, Alabama",1166332754,C,Alabama
443,"Waverly, Alabama",1132854855,C,Alabama
444,"Weaver, Alabama",1165906934,C,Alabama
445,"Webb, Alabama",1166332930,Start,Alabama
446,"Wedowee, Alabama",1172981633,C,Alabama
447,"West Blocton, Alabama",1179078811,C,Alabama
448,"West Jefferson, Alabama",1166333114,Start,Alabama
449,"West Point, Alabama",1166333164,Start,Alabama
450,"Westover, Alabama",1165907320,Start,Alabama
451,"Wetumpka, Alabama",1176205749,GA,Alabama
452,"White Hall, Alabama",1166333467,C,Alabama
453,"Wilsonville, Alabama",1166333841,Start,Alabama
454,"Wilton, Alabama",1166333844,Start,Alabama
455,"Winfield, Alabama",1177270687,C,Alabama
456,"Woodland, Alabama",1166334268,C,Alabama
457,"Woodstock, Alabama",1166334349,C,Alabama
458,"Woodville, Alabama",1166334382,C,Alabama
459,"Yellow Bluff, Alabama",1166334559,Start,Alabama
460,"York, Alabama",1171163639,C,Alabama
922,"Adak, Alaska",1174701601,C,Alaska
923,"Akhiok, Alaska",1176053029,C,Alaska
924,"Akiak, Alaska",1165506221,C,Alaska
925,"Akutan, Alaska",1174332990,C,Alaska
926,"Alakanuk, Alaska",1174333044,C,Alaska
927,"Aleknagik, Alaska",1174333266,C,Alaska
928,"Allakaket, Alaska",1166985589,C,Alaska
929,"Ambler, Alaska",1177436311,C,Alaska
930,"Anaktuvuk Pass, Alaska",1177430380,GA,Alaska
931,"Anchorage, Alaska",1179536783,B,Alaska
932,"Anderson, Alaska",1165507165,C,Alaska
933,"Angoon, Alaska",1174449377,C,Alaska
934,"Aniak, Alaska",1174449433,GA,Alaska
935,"Anvik, Alaska",1174449500,C,Alaska
936,"Atka, Alaska",1174453521,C,Alaska
937,"Atqasuk, Alaska",1175488757,C,Alaska
938,"Bethel, Alaska",1175739311,C,Alaska
939,"Bettles, Alaska",1165536061,GA,Alaska
940,"Brevig Mission, Alaska",1178323045,C,Alaska
941,"Buckland, Alaska",1165537531,C,Alaska
942,"Chefornak, Alaska",1165539078,C,Alaska
943,"Chevak, Alaska",1176908860,GA,Alaska
944,"Chignik, Alaska",1174403364,C,Alaska
945,"Chuathbaluk, Alaska",1165539392,C,Alaska
946,"Clark's Point, Alaska",1165539523,Start,Alaska
947,"Coffman Cove, Alaska",1165644646,C,Alaska
948,"Cold Bay, Alaska",1173618968,C,Alaska
949,"Cordova, Alaska",1179094111,C,Alaska
950,"Craig, Alaska",1166077592,B,Alaska
951,"Deering, Alaska",1165646491,C,Alaska
952,"Delta Junction, Alaska",1173746973,C,Alaska
953,"Dillingham, Alaska",1169781442,FA,Alaska
954,"Diomede, Alaska",1178935405,GA,Alaska
955,"Eagle, Alaska",1171521339,C,Alaska
956,"Edna Bay, Alaska",1165647875,C,Alaska
957,"Eek, Alaska",1165647899,C,Alaska
958,"Egegik, Alaska",1165647916,C,Alaska
959,"Ekwok, Alaska",1165647928,Start,Alaska
960,"Elim, Alaska",1178323179,GA,Alaska
961,"Emmonak, Alaska",1165650698,C,Alaska
962,"Fairbanks, Alaska",1177325246,B,Alaska
963,"False Pass, Alaska",1160192738,C,Alaska
964,"Fort Yukon, Alaska",1169729372,C,Alaska
965,"Galena, Alaska",1175614529,C,Alaska
966,"Gambell, Alaska",1178323433,GA,Alaska
967,"Golovin, Alaska",1178323552,C,Alaska
968,"Goodnews Bay, Alaska",1165748224,C,Alaska
969,"Grayling, Alaska",1165748594,Start,Alaska
970,"Gustavus, Alaska",1177369669,GA,Alaska
971,"Holy Cross, Alaska",1179078829,Start,Alaska
972,"Homer, Alaska",1177395894,GA,Alaska
973,"Hoonah, Alaska",1165750344,GA,Alaska
974,"Hooper Bay, Alaska",1165750347,C,Alaska
975,"Houston, Alaska",1165750463,C,Alaska
976,"Hughes, Alaska",1165750555,Start,Alaska
977,"Huslia, Alaska",1174931151,GA,Alaska
978,"Hydaburg, Alaska",1165750723,GA,Alaska
979,"Juneau, Alaska",1179395452,C,Alaska
980,"Kachemak, Alaska",1165751412,GA,Alaska
981,"Kake, Alaska",1151995274,C,Alaska
982,"Kaktovik, Alaska",1167643705,C,Alaska
983,"Kaltag, Alaska",1165751831,C,Alaska
984,"Kasaan, Alaska",1165751881,GA,Alaska
985,"Kenai, Alaska",1179083176,GA,Alaska
986,"Ketchikan, Alaska",1178738064,GA,Alaska
987,"Kiana, Alaska",1165752156,C,Alaska
988,"King Cove, Alaska",1165752232,GA,Alaska
989,"Kivalina, Alaska",1167306947,GA,Alaska
990,"Klawock, Alaska",1165752344,C,Alaska
991,"Kobuk, Alaska",1165752375,C,Alaska
992,"Kodiak, Alaska",1179271887,GA,Alaska
993,"Kotlik, Alaska",1165752392,C,Alaska
994,"Kotzebue, Alaska",1174601049,GA,Alaska
995,"Koyuk, Alaska",1178323608,Start,Alaska
996,"Koyukuk, Alaska",1165752404,C,Alaska
997,"Kupreanof, Alaska",1165752424,Start,Alaska
